|idquery|prompt|speakql_example_1|speakql_example_2|sql_example|synonym|natural_functions|exp_ordering|mod_ordering|unbundle_join|unbundle_agg|num_tables|tables|num_proj|projections|num_funcs|functions|num_selections|selection|num_joins|joins|num_mods|modifiers|complexity|normalized|is_complex
0|1|which term years are present in the database?|in the term table get distinct year|show me distinct year from term|SELECT DISTINCT year FROM term|1|0|1|0|0|0|1|term|1|distinct year|0||0||0||0||1.05|-1.338980489959148|0
1|2|how many buildings does UCSD have?|what is the count of buildingNumber in the building table|from the building table get the count of buildingNumber|SELECT COUNT(*) FROM building|1|1|1|0|0|0|1|building|1|buildingNumber|1|count(buildingNumber)|0||0||0||2.05|-1.0071631673745194|0
2|3|How many deparments does UCSD have?|get the count of distinct departmentname from the department table|in department show me the count of distinct departmentname|SELECT COUNT(*) FROM department|1|1|1|0|0|0|1|department|1|count distinct departmentname|1|count(distinct departmentname)|0||0||0||2.05|-1.0071631673745194|0
3|4|make a list of courses offered by the CSE department that includes the course title and units. The CSE department ID is 'CSE'.|find title and units in the course table where deptId = 'CSE'|from the course table get title and units where deptId = 'CSE'|SELECT course.title, course.units FROM course WHERE course.deptId = 'CSE'|1|0|1|0|0|0|1|course|2|title, units|0||1|deptId = 'CSE'|0||0||2.1|-0.9905723012452878|0
4|5|how many rooms have at least two wheelchair spaces?|find the count of roomNumber where wheelchairSpaces >= 2|show me count (roomNumber) where wheelchairSpaces >= 2 in the room table|"select count(*) as ""Number of Rooms"" from room where wheelchairSpaces >= 2"|1|1|1|0|0|0|1|room|1|roomNumber|1|count(roomNumber)|1|wheelchairSpace >= 2|0||0||2.8499999999999996|-0.7417093093068167|0
5|6|Make a list of buildings and their rooms. Display the build name, each room number, the floor each room is on, and the number of wheelchair spaces each room has.|join the building table with the room table on building.id = room.buildingId AND THEN show me buildingName from building AND THEN get roomNumber, floor and wheelchairspaces from the room table|select roomNumber and floor and wheelchairSpaces from room AND THEN join room with building on room.buildingId = buildingId AND THEN get buildingName from the building table|SELECT building.buildingName, room.roomNumber, room.floor, room.wheelchairSpaces FROM building JOIN room ON room.buildingId = building.id|1|0|1|0|1|0|2|building, room|4|buildingname, roomnumber, floor, wheelchairSpaces|0||0||1|room.buildingId = building.id|0||3.8|-0.4264828528514195|0
6|7|which building or buildings has a room with roomnumber 2001?|from the room table get nothing where roomnumber = 2001 AND THEN from the buildingtable get buildingname AND THEN join room with building on room.buildingid = building.id|find buildingname where room.roomnumber = 2001 in the buildingtable joined with the room table on room.buildingid = building.id|SELECT building.buildingName FROM building JOIN room ON building.id = room.buildingId WHERE room.roomNumber = '2001'|1|0|1|0|1|0|2|room, building|1|buildingname|0||1|room.roomnumber = 2001|1|room.buildingid = building.id|0||3.8500000000000005|-0.40989198672218785|0
7|8|Find all the courses taught by Kinny Relf. Show the course title, code and number of units.|in course show me title, code and units AND THEN get nothing from courseOffering where facultyName = 'Kinny Relf' and then join course with courseoffering on course.id = courseoffering.courseId|show me title and code and units in the course table AND THEN get nothing from courseoffering where facultyName = 'Kinny Relf' and course.id = courseoffering.courseId|SELECT course.title, course.code, course.units FROM course INNER JOIN courseOffering ON course.id = courseOffering.courseId WHERE courseOffering.facultyName = 'Kinny Relf'|1|0|1|0|1|0|2|course, courseoffering|3|title, code, units|0||1|courseoffering.facultyName = 'Kinny Relf'|1|course.id = courseoffering.courseId|0||4.3500000000000005|-0.2439833254298736|0
8|9|How many buildings have a room with at least three wheelchair spaces|what is the count of buildingname in the building table joined with the room table on room.buildingid = building.id where wheelchairspaces >= 3|get the count of id from the building table and then get nothing from the room table where wheelchairspaces >= 3 and then join the room table with the building table on room.buildingid = building.id|SELECT COUNT(DISTINCT buildingId) FROM room WHERE wheelchairSpaces >= 3|1|1|1|0|1|0|2|building, room|1|count(buildingname)|1|count(buildingname)|1|wheelchairspaces >= 3|1|room.buildingId = building.id|0||4.8500000000000005|-0.07807466413755937|0
9|10|what is the total number of wheelchair spaces in each building? Show the building name and the number of spaces in each building.|show me the sum of wheelchair spaces in the room table AND THEN in the building table get buildingname AND THEN join room with building on room.buildingid = building.id AND THEN group automatically|join the building table with the room table on room.buildingid = building.id AND THEN get buildingname from the building table AND THEN find the sum of wheelchair spaces AND THEN group automatically|SELECT buildingName, SUM(wheelchairSpaces) AS totalWheelchairSpaces FROM building JOIN room ON building.id = room.buildingId GROUP BY buildingName ORDER BY totalWheelchairSpaces DESC|1|1|1|0|1|1|2|room, building|1|building.buildingname|1|sum(wheelchairspaces)|0||1|room.buildingid = building.id|1|group automatically|5.05|-0.011711199620633906|0
10|11|Find the titles of all courses offered in 2022|get title from course AND THEN get nothing from term where year = 2022 AND THEN join course with courseoffering on course.id = courseoffering.id AND THEN join courseoffering with the term table on term.it = courseoffering.termid|join the term table with the courseoffering table on term.id = courseoffering.termid AND THEN join the courseoffering table with the course table on course.id = courseoffering.courseId AND THEN show me title from course and then get nothing from term where year = 2022|SELECT title FROM course JOIN courseOffering ON course.id = courseOffering.courseId JOIN term ON courseOffering.termId = term.id WHERE year = 2022|1|0|1|0|1|0|3|term, courseoffering, course|1|title|0||1|term.year = 2022|2|courseoffering.termid = term.id, course.id = courseoffering.courseid|0||5.85|0.25374265844706884|1
11|12|Find the five departments that offer the most courses from highest to lowest. Display the full department name (not just deptID).|what is the count of id in the course table AND THEN show me departmentName in department AND THEN join department with course on course.deptID = department.id AND THEN group automatically limit 5 order by departmentName descending|select departmentName and the count of course.id in department joined with course on course.deptId = department.id group by departmentName order by departmentName descending limit 5|SELECT departmentName, COUNT(courseId) FROM courseOffering JOIN department ON department.id = courseOffering.deptId GROUP BY departmentName ORDER BY COUNT(courseId) DESC LIMIT 5|1|1|1|1|1|1|2|course, department|1|departmentName|1|count(course.*)|0||1|course.deptId = department.id|2|limit 5, order by departmentName desc|6.05|0.3201061229639946|1
12|13|Generate a list of department names that offer more than 100 courses. Include the number of courses they offer.|from department get departmentname AND THEN from course get the count of id AND THEN group automatically having count of course.id >= 100 AND THEN join the course table with the department table on course.deptid = department.id|show me departmentname from the department table and then show me the count of coursename in the course table AND THEN join department with course on course.deptid = department.id AND THEN group automatically having the count of course.coursename >= 100|SELECT departmentName, COUNT(*) AS numCourses FROM department JOIN course ON department.id = course.deptId GROUP BY departmentName HAVING COUNT(*) > 100|1|1|1|1|1|1|2|deparment, course|1|departmentName|1|count(coursename)|0||1|course.deptid = department.id|2|having count(course.*) >= 100, group automatically|6.05|0.3201061229639946|1
