|idquery|prompt|speakql_example_1|speakql_example_2|sql_example|synonym|natural_functions|exp_ordering|mod_ordering|unbundle_join|unbundle_agg|num_tables|tables|num_proj|projections|num_funcs|functions|num_selections|selection|num_joins|joins|num_mods|modifiers|complexity|normalized|is_complex
0|1|which term years are present in the database?|in the term table get distinct year|show me distinct year from term|SELECT DISTINCT year FROM term|1|0|1|0|0|0|1|term|1|distinct year|0||0||0||0||1.05|-1.2795131310913848|0
1|2|how many buildings does UCSD have?|what is the count of buildingNumber in the building table|from the building table get the count of buildingNumber|SELECT COUNT(*) FROM building|1|1|1|0|0|0|1|building|1|buildingNumber|1|count(buildingNumber)|0||0||0||2.05|-0.9541320805520648|0
2|3|How many deparments does UCSD have?|get the count of distinct departmentname from the department table|in department show me the count of distinct departmentname|SELECT COUNT(*) FROM department|1|1|1|0|0|0|1|department|1|count departmentname|1|count(departmentname)|0||0||0||2.05|-0.9541320805520648|0
3|4|make a list of courses offered by the CSE department that includes the course title and units columns. The CSE department ID is 'CSE'.|find title and units in the course table where deptId = 'CSE'|from the course table get title and units where deptId = 'CSE'|SELECT course.title, course.units FROM course WHERE course.deptId = 'CSE'|1|0|1|0|0|0|1|course|2|title, units|0||1|deptId = 'CSE'|0||0||2.1|-0.9378630280250987|0
4|5|how many rooms have at least two wheelchair spaces?|find the count of roomNumber where wheelchairSpaces >= 2|show me count (roomNumber) where wheelchairSpaces >= 2 in the room table|"select count(*) as ""Number of Rooms"" from room where wheelchairSpaces >= 2"|1|1|1|0|0|0|1|room|1|roomNumber|1|count(roomNumber)|1|wheelchairSpace >= 2|0||0||2.8499999999999996|-0.6938272401206088|0
5|6|Make a list of buildings and their rooms. Display the building name, each room number, the floor each room is on, and the number of wheelchair spaces each room has.|join the building table with the room table on building.id = room.buildingId AND THEN show me buildingName from building AND THEN get roomNumber, floor and wheelchairspaces from the room table|select roomNumber and floor and wheelchairSpaces from room AND THEN join room with building on room.buildingId = buildingId AND THEN get buildingName from the building table|SELECT building.buildingName, room.roomNumber, room.floor, room.wheelchairSpaces FROM building JOIN room ON room.buildingId = building.id|1|0|1|0|1|0|2|building, room|4|buildingname, roomnumber, floor, wheelchairSpaces|0||0||1|room.buildingId = building.id|0||3.8|-0.38471524210825464|0
6|7|Display the building names for buildings that have a room with roomnumber 2001. |from the room table get nothing where roomnumber = 2001 AND THEN from the buildingtable get buildingname AND THEN join room with building on room.buildingid = building.id|find buildingname where room.roomnumber = 2001 in the buildingtable joined with the room table on room.buildingid = building.id|SELECT building.buildingName FROM building JOIN room ON building.id = room.buildingId WHERE room.roomNumber = '2001'|1|0|1|0|1|0|2|room, building|1|buildingname|0||1|room.roomnumber = 2001|1|room.buildingid = building.id|0||3.8500000000000005|-0.36844618958128844|0
7|8|Find all the course offerings taught by Kinny Relf. Show the course title, course code, and number of units.|in course show me title, code and units AND THEN get nothing from courseOffering where facultyName = 'Kinny Relf' and then join course with courseoffering on course.id = courseoffering.courseId|show me title and code and units in the course table AND THEN get nothing from courseoffering where facultyName = 'Kinny Relf' and course.id = courseoffering.courseId|SELECT course.title, course.code, course.units FROM course INNER JOIN courseOffering ON course.id = courseOffering.courseId WHERE courseOffering.facultyName = 'Kinny Relf'|1|0|1|0|1|0|2|course, courseoffering|3|title, code, units|0||1|courseoffering.facultyName = 'Kinny Relf'|1|course.id = courseoffering.courseId|0||4.3500000000000005|-0.20575566431162842|0
8|9|How many buildings have a room with at least three wheelchair spaces?|what is the count of buildingname in the building table joined with the room table on room.buildingid = building.id where wheelchairspaces >= 3|get the count of id from the building table and then get nothing from the room table where wheelchairspaces >= 3 and then join the room table with the building table on room.buildingid = building.id|SELECT COUNT(DISTINCT buildingId) FROM room WHERE wheelchairSpaces >= 3|1|1|1|0|1|0|1|room|1|count(buildingId)|1|count(buildingId)|1|wheelchairspaces >= 3|0||0||2.8499999999999996|-0.6938272401206088|0
9|10|what is the sum total number of wheelchair spaces in each building? Show the building name and the number of spaces in each building in the result.|show me the sum of wheelchair spaces in the room table AND THEN in the building table get buildingname AND THEN join room with building on room.buildingid = building.id AND THEN group automatically|join the building table with the room table on room.buildingid = building.id AND THEN get buildingname from the building table AND THEN find the sum of wheelchair spaces AND THEN group automatically|SELECT buildingName, SUM(wheelchairSpaces) AS totalWheelchairSpaces FROM building JOIN room ON building.id = room.buildingId GROUP BY buildingName ORDER BY totalWheelchairSpaces DESC|1|1|1|0|1|1|2|room, building|1|building.buildingname|1|sum(wheelchairspaces)|0||1|room.buildingid = building.id|1|group automatically|5.05|0.02201107106589539|1
