idsequence,step,idquery,speakql_first,language
a,1,2,1,speakql
a,2,2,1,sql
a,3,3,0,sql
a,4,3,0,speakql
a,5,4,1,speakql
a,6,4,1,sql
a,7,7,0,sql
a,8,7,0,speakql
a,9,9,1,speakql
a,10,9,1,sql
a,11,10,0,sql
a,12,10,0,speakql
a,13,11,1,speakql
a,14,11,1,sql
a,15,12,0,sql
a,16,12,0,speakql
a,17,13,1,speakql
a,18,13,1,sql
a,19,14,0,sql
a,20,14,0,speakql
a,21,15,1,speakql
a,22,15,1,sql
a,23,17,0,sql
a,24,17,0,speakql
b,1,2,0,sql
b,2,2,0,speakql
b,3,3,1,speakql
b,4,3,1,sql
b,5,4,0,sql
b,6,4,0,speakql
b,7,7,1,speakql
b,8,7,1,sql
b,9,9,0,sql
b,10,9,0,speakql
b,11,10,1,speakql
b,12,10,1,sql
b,13,11,0,sql
b,14,11,0,speakql
b,15,12,1,speakql
b,16,12,1,sql
b,17,13,0,sql
b,18,13,0,speakql
b,19,14,1,speakql
b,20,14,1,sql
b,21,15,0,sql
b,22,15,0,speakql
b,23,17,1,speakql
b,24,17,1,sql
p1,1,1,0,sql
p1,2,1,0,speakql
p1,3,5,1,speakql
p1,4,5,1,sql
p1,5,16,0,sql
p1,6,16,0,speakql
p2,1,1,1,speakql
p2,2,1,1,sql
p2,3,5,0,sql
p2,4,5,0,speakql
p2,5,16,1,speakql
p2,6,16,1,sql
