idsequence,step,idquery,speakql_first,language,ispractice
group1,1,1,1,speakql,1
group1,2,5,1,speakql,1
group1,3,16,1,speakql,1
group1,4,1,1,sql,1
group1,5,5,1,sql,1
group1,6,16,1,sql,1
group1,7,2,1,speakql,0
group1,8,3,1,speakql,0
group1,9,4,1,speakql,0
group1,10,7,1,speakql,0
group1,11,9,1,speakql,0
group1,12,10,1,speakql,0
group1,13,11,1,speakql,0
group1,14,12,1,speakql,0
group1,15,13,1,speakql,0
group1,16,14,1,speakql,0
group1,17,15,1,speakql,0
group1,18,17,1,speakql,0
group1,19,2,1,sql,0
group1,20,3,1,sql,0
group1,21,4,1,sql,0
group1,22,7,1,sql,0
group1,23,9,1,sql,0
group1,24,10,1,sql,0
group1,25,11,1,sql,0
group1,26,12,1,sql,0
group1,27,13,1,sql,0
group1,28,14,1,sql,0
group1,29,15,1,sql,0
group1,30,17,1,sql,0
group2,1,1,0,sql,1
group2,2,5,0,sql,1
group2,3,16,0,sql,1
group2,4,1,0,speakql,1
group2,5,5,0,speakql,1
group2,6,16,0,speakql,1
group2,7,2,0,sql,0
group2,8,3,0,sql,0
group2,9,4,0,sql,0
group2,10,7,0,sql,0
group2,11,9,0,sql,0
group2,12,10,0,sql,0
group2,13,11,0,sql,0
group2,14,12,0,sql,0
group2,15,13,0,sql,0
group2,16,14,0,sql,0
group2,17,15,0,sql,0
group2,18,17,0,sql,0
group2,19,2,0,speakql,0
group2,20,3,0,speakql,0
group2,21,4,0,speakql,0
group2,22,7,0,speakql,0
group2,23,9,0,speakql,0
group2,24,10,0,speakql,0
group2,25,11,0,speakql,0
group2,26,12,0,speakql,0
group2,27,13,0,speakql,0
group2,28,14,0,speakql,0
group2,29,15,0,speakql,0
group2,30,17,0,speakql,0
a,1,2,1,speakql,0
a,2,2,1,sql,0
a,3,3,0,sql,0
a,4,3,0,speakql,0
a,5,4,1,speakql,0
a,6,4,1,sql,0
a,7,7,0,sql,0
a,8,7,0,speakql,0
a,9,9,1,speakql,0
a,10,9,1,sql,0
a,11,10,0,sql,0
a,12,10,0,speakql,0
a,13,11,1,speakql,0
a,14,11,1,sql,0
a,15,12,0,sql,0
a,16,12,0,speakql,0
a,17,13,1,speakql,0
a,18,13,1,sql,0
a,19,14,0,sql,0
a,20,14,0,speakql,0
a,21,15,1,speakql,0
a,22,15,1,sql,0
a,23,17,0,sql,0
a,24,17,0,speakql,0
b,1,2,0,sql,0
b,2,2,0,speakql,0
b,3,3,1,speakql,0
b,4,3,1,sql,0
b,5,4,0,sql,0
b,6,4,0,speakql,0
b,7,7,1,speakql,0
b,8,7,1,sql,0
b,9,9,0,sql,0
b,10,9,0,speakql,0
b,11,10,1,speakql,0
b,12,10,1,sql,0
b,13,11,0,sql,0
b,14,11,0,speakql,0
b,15,12,1,speakql,0
b,16,12,1,sql,0
b,17,13,0,sql,0
b,18,13,0,speakql,0
b,19,14,1,speakql,0
b,20,14,1,sql,0
b,21,15,0,sql,0
b,22,15,0,speakql,0
b,23,17,1,speakql,0
b,24,17,1,sql,0
p1,1,1,0,sql,1
p1,2,1,0,speakql,1
p1,3,5,1,speakql,1
p1,4,5,1,sql,1
p1,5,16,0,sql,1
p1,6,16,0,speakql,1
p2,1,1,1,speakql,1
p2,2,1,1,sql,1
p2,3,5,0,sql,1
p2,4,5,0,speakql,1
p2,5,16,1,speakql,1
p2,6,16,1,sql,1
