,tab_name,col_name,val
0,building,id,APM
1,building,id,ASANT
2,building,id,CENTR
3,building,id,CICC
4,building,id,CSB
5,building,id,CT
6,building,id,ECON
7,building,id,GA
8,building,id,GH
9,building,id,HSS
10,building,id,LEICHTAG
11,building,id,MANDE
12,building,id,MCGIL
13,building,id,MO
14,building,id,OTRSN
15,building,id,PCYNH
16,building,id,PETER
17,building,id,PRICE
18,building,id,RBC
19,building,id,RWAC
20,building,id,SEQUO
21,building,id,SOLIS
22,building,id,SSB
23,building,id,TM102
24,building,id,WLH
25,building,id,YORK
0,building,buildingNumber,7200
1,building,buildingNumber,1226
2,building,buildingNumber,4963
3,building,buildingNumber,5400
4,building,buildingNumber,201
5,building,buildingNumber,5887
6,building,buildingNumber,4567
7,building,buildingNumber,2061
8,building,buildingNumber,7673
9,building,buildingNumber,233
10,building,buildingNumber,3637
11,building,buildingNumber,5685
12,building,buildingNumber,3780
13,building,buildingNumber,5758
14,building,buildingNumber,2584
15,building,buildingNumber,1292
16,building,buildingNumber,6155
17,building,buildingNumber,1864
18,building,buildingNumber,2637
19,building,buildingNumber,4221
20,building,buildingNumber,4132
21,building,buildingNumber,4302
22,building,buildingNumber,2556
23,building,buildingNumber,1488
24,building,buildingNumber,6339
25,building,buildingNumber,5612
0,building,buildingName,Applied Physics and Mathematics
1,building,buildingName,Asante House Meeting Rooms
2,building,buildingName,Center Hall
3,building,buildingName,Copley International Conference Center
4,building,buildingName,Cognitive Science Building
5,building,buildingName,Catalyst
6,building,buildingName,Economics Building
7,building,buildingName,The Jeannie
8,building,buildingName,Galbraith Hall
9,building,buildingName,Humanities and Social Sciences
10,building,buildingName,Leichtag Family Foundation Biomedical Research Building
11,building,buildingName,Mandeville Center
12,building,buildingName,McGill Hall
13,building,buildingName,Mosaic
14,building,buildingName,Otterson Hall
15,building,buildingName,Pepper Canyon Hall
16,building,buildingName,Peterson Hall
17,building,buildingName,Price Center West
18,building,buildingName,Robinson Building 2 - Auditorium
19,building,buildingName,Ridge Walk Academic Building
20,building,buildingName,Sequoyah Hall
21,building,buildingName,Solis Hall
22,building,buildingName,Social Sciences Building
23,building,buildingName,102 Marshall College
24,building,buildingName,Warren Lecture Hall
25,building,buildingName,York Hall
0,course,id,aas10
1,course,id,aasm198
2,course,id,aasm199
3,course,id,aasm87
4,course,id,aip197
5,course,id,aip197dc
6,course,id,aip197p
7,course,id,aip97
8,course,id,anth1
9,course,id,anth101
10,course,id,anth102
11,course,id,anth103
12,course,id,anth104
13,course,id,anth105
14,course,id,anth106
15,course,id,anth107
16,course,id,anth108
17,course,id,anth109
18,course,id,anth110
19,course,id,anth111
20,course,id,anth120
21,course,id,anth128a
22,course,id,anth128b
23,course,id,anth147
24,course,id,anth192
25,course,id,anth195
26,course,id,anth196a
27,course,id,anth196b
28,course,id,anth196c
29,course,id,anth197
30,course,id,anth199
31,course,id,anth2
32,course,id,anth200
33,course,id,anth201
34,course,id,anth203
35,course,id,anth204
36,course,id,anth205
37,course,id,anth206
38,course,id,anth207
39,course,id,anth209
40,course,id,anth21
41,course,id,anth210
42,course,id,anth212
43,course,id,anth213
44,course,id,anth214
45,course,id,anth215
46,course,id,anth216
47,course,id,anth219
48,course,id,anth220
49,course,id,anth221
50,course,id,anth222
51,course,id,anth223
52,course,id,anth224
53,course,id,anth226
54,course,id,anth227
55,course,id,anth228
56,course,id,anth229
57,course,id,anth23
58,course,id,anth230
59,course,id,anth231
60,course,id,anth232
61,course,id,anth233
62,course,id,anth235
63,course,id,anth237
64,course,id,anth238
65,course,id,anth239
66,course,id,anth24
67,course,id,anth242
68,course,id,anth243
69,course,id,anth244
70,course,id,anth245
71,course,id,anth246
72,course,id,anth247
73,course,id,anth248
74,course,id,anth249
75,course,id,anth250
76,course,id,anth251
77,course,id,anth253
78,course,id,anth254
79,course,id,anth255
80,course,id,anth256
81,course,id,anth257
82,course,id,anth258
83,course,id,anth259
84,course,id,anth260
85,course,id,anth261
86,course,id,anth262
87,course,id,anth263
88,course,id,anth264
89,course,id,anth265
90,course,id,anth266
91,course,id,anth267
92,course,id,anth268
93,course,id,anth269
94,course,id,anth270
95,course,id,anth271
96,course,id,anth272
97,course,id,anth273
98,course,id,anth274
99,course,id,anth275
100,course,id,anth277
101,course,id,anth278
102,course,id,anth279
103,course,id,anth280a
104,course,id,anth280b
105,course,id,anth280c
106,course,id,anth280d
107,course,id,anth280e
108,course,id,anth280f
109,course,id,anth281a
110,course,id,anth281b
111,course,id,anth281c
112,course,id,anth283a
113,course,id,anth284
114,course,id,anth285
115,course,id,anth287
116,course,id,anth288
117,course,id,anth291
118,course,id,anth292
119,course,id,anth293
120,course,id,anth295
121,course,id,anth296
122,course,id,anth299
123,course,id,anth3
124,course,id,anth4
125,course,id,anth42
126,course,id,anth43
127,course,id,anth45
128,course,id,anth5
129,course,id,anth500
130,course,id,anth87
131,course,id,awp10
132,course,id,awp100
133,course,id,awp101
134,course,id,awp102
135,course,id,awp103
136,course,id,awp195
137,course,id,awp3
138,course,id,awp4a
139,course,id,awp4b
140,course,id,beng-277
141,course,id,beng1
142,course,id,beng100
143,course,id,beng102
144,course,id,beng103b
145,course,id,beng110
146,course,id,beng112a
147,course,id,beng112b
148,course,id,beng119a
149,course,id,beng119b
150,course,id,beng120
151,course,id,beng122a
152,course,id,beng123
153,course,id,beng125
154,course,id,beng126a
155,course,id,beng126b
156,course,id,beng127a
157,course,id,beng127b
158,course,id,beng128a
159,course,id,beng128b
160,course,id,beng129a
161,course,id,beng129b
162,course,id,beng130
163,course,id,beng133
164,course,id,beng134
165,course,id,beng135
166,course,id,beng139a
167,course,id,beng139b
168,course,id,beng140a
169,course,id,beng140b
170,course,id,beng141
171,course,id,beng147a
172,course,id,beng147b
173,course,id,beng148a
174,course,id,beng148b
175,course,id,beng149a
176,course,id,beng149b
177,course,id,beng152
178,course,id,beng160
179,course,id,beng161a
180,course,id,beng161b
181,course,id,beng162
182,course,id,beng166a
183,course,id,beng168
184,course,id,beng169a
185,course,id,beng169b
186,course,id,beng172
187,course,id,beng179a
188,course,id,beng179b
189,course,id,beng183
190,course,id,beng186a
191,course,id,beng186b
192,course,id,beng187a
